date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-14,Premier League,1,Sat,Home,W,3.0,0.0,Crystal Palace,0.9,0.3,62.0
2021-08-22,Premier League,2,Sun,Away,W,2.0,0.0,Arsenal,2.9,0.3,65.0
2021-08-28,Premier League,3,Sat,Away,D,1.0,1.0,Liverpool,0.8,2.6,35.0
2021-09-11,Premier League,4,Sat,Home,W,3.0,0.0,Aston Villa,1.1,1.5,57.0
2021-09-19,Premier League,5,Sun,Away,W,3.0,0.0,Tottenham,1.9,0.7,53.0
2021-09-25,Premier League,6,Sat,Home,L,0.0,1.0,Manchester City,0.3,1.7,40.0
2021-10-02,Premier League,7,Sat,Home,W,3.0,1.0,Southampton,3.6,1.3,62.0
2021-10-16,Premier League,8,Sat,Away,W,1.0,0.0,Brentford,0.3,1.6,56.0
2021-10-23,Premier League,9,Sat,Home,W,7.0,0.0,Norwich City,3.2,0.2,63.0
2021-10-30,Premier League,10,Sat,Away,W,3.0,0.0,Newcastle Utd,2.1,0.3,77.0
2021-11-06,Premier League,11,Sat,Home,D,1.0,1.0,Burnley,2.2,1.0,68.0
2021-11-20,Premier League,12,Sat,Away,W,3.0,0.0,Leicester City,2.4,0.4,60.0
2021-11-28,Premier League,13,Sun,Home,D,1.0,1.0,Manchester Utd,2.9,0.7,65.0
2021-12-01,Premier League,14,Wed,Away,W,2.0,1.0,Watford,1.3,1.0,49.0
