name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,clean_sheets,psxg_gk,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
David de Gea,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.6,0.0,0.0,0.0,0.0,9.0,13.0,69.2,23.0,3.0,17.4,23.4,12.0,75.0,45.4,10.0,0.0,0.0,0.0,12.0
David de Gea,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,GK,90.0,3.0,1.0,3.0,66.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,7.7,24.8,5.0,0.0,14.4,3.0,0.0,0.0,0.0,4.5
David de Gea,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,GK,90.0,5.0,0.0,5.0,100.0,1.0,1.1,0.0,0.0,0.0,0.0,4.0,7.0,57.1,12.0,3.0,33.3,35.3,8.0,37.5,35.6,11.0,1.0,9.1,1.0,28.0
David de Gea,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,GK,90.0,4.0,1.0,3.0,75.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,100.0,6.0,1.0,16.7,28.3,7.0,14.3,24.9,3.0,0.0,0.0,0.0,10.0
David de Gea,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.4,1.0,0.0,1.0,0.0,2.0,2.0,100.0,15.0,6.0,13.3,28.3,7.0,0.0,24.6,10.0,1.0,10.0,0.0,8.8
David de Gea,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.6,0.0,0.0,0.0,0.0,3.0,5.0,60.0,18.0,2.0,27.8,33.9,5.0,0.0,24.0,15.0,1.0,6.7,0.0,13.5
David de Gea,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,3.0,66.7,12.0,2.0,8.3,28.3,7.0,28.6,33.9,8.0,0.0,0.0,0.0,14.8
David de Gea,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,GK,90.0,11.0,4.0,6.0,63.6,0.0,4.5,0.0,0.0,0.0,0.0,5.0,15.0,33.3,20.0,6.0,40.0,34.1,12.0,58.3,45.9,3.0,0.0,0.0,0.0,17.3
David de Gea,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,GK,90.0,8.0,5.0,3.0,37.5,0.0,4.5,0.0,0.0,0.0,0.0,3.0,6.0,50.0,13.0,3.0,23.1,31.8,8.0,37.5,34.0,4.0,1.0,25.0,1.0,12.0
David de Gea,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,36.4,20.0,2.0,35.0,34.0,6.0,66.7,49.0,8.0,0.0,0.0,0.0,16.0
David de Gea,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,GK,90.0,5.0,2.0,4.0,60.0,0.0,2.2,0.0,0.0,0.0,0.0,3.0,14.0,21.4,9.0,2.0,55.6,42.6,11.0,81.8,54.0,8.0,0.0,0.0,0.0,13.0
David de Gea,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,GK,90.0,7.0,4.0,3.0,42.9,0.0,3.1,2.0,0.0,2.0,0.0,2.0,11.0,18.2,16.0,2.0,31.3,33.7,11.0,54.5,48.0,8.0,0.0,0.0,0.0,12.5
David de Gea,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,GK,90.0,5.0,1.0,4.0,100.0,0.0,2.4,1.0,1.0,0.0,0.0,4.0,17.0,23.5,14.0,2.0,57.1,42.1,14.0,64.3,50.6,12.0,0.0,0.0,1.0,23.0
